행정동,구,공원개수,공원개수_w,문화시설개수,문화시설개수_w,한강공원개수,한강공원개수_w,체육시설개수,체육시설개수_w,보행자도로개수,보행자도로개수_w,초중고,초중고_w,관광명소개수,관광명소개수_w,지하철개수,지하철개수_w,호텔개수,호텔개수_w,대학교개수,대학교개수_w,총합,가중치총합,인구수비율,SCORE,랭크
오금동,송파구,1,0.000422535,1,0.000168612,,0,,0,,0,9,0.000069124,,0,1,0.000135593,,0,,0,12,0.000795864,0.003306835,0.004594543,137
신정4동,양천구,,0,,0,,0,,0,2,0.000639269,3,0.000023041,,0,1,0.000135593,,0,,0,6,0.000797903,0.003206911,0.004497918,138
효창동,용산구,,0,6,0.001011673,,0,1,0.001041667,,0,1,0.00000768,,0,1,0.000135593,,0,,0,9,0.002196613,0.000940623,0.004494743,139
개봉1동,구로구,,0,2,0.000337224,,0,,0,2,0.000639269,3,0.000023041,,0,1,0.000135593,,0,,0,8,0.001135127,0.002625227,0.004461862,140
방배2동,서초구,1,0.000422535,,0,,0,,0,2,0.000639269,2,0.000015361,,0,1,0.000135593,,0,,0,6,0.001212758,0.002456886,0.004419128,141
반포1동,서초구,,0,3,0.000505837,,0,,0,,0,1,0.00000768,,0,2,0.000271186,,0,,0,6,0.000784703,0.003141608,0.004411257,142
신대방2동,동작구,,0,,0,,0,,0,,0,4,0.000030722,1,0.001162791,,0,,0,,0,5,0.001193513,0.002433072,0.004364176,143
공항동,강서구,,0,,0,,0,,0,,0,4,0.000030722,,0,2,0.000271186,1,0.00003876,,0,7,0.000340668,0.003808837,0.004360038,144
노량진2동,동작구,,0,2,0.000337224,,0,,0,,0,,0,1,0.001162791,,0,,0,,0,3,0.001500015,0.001888024,0.004315048,145
서강동,마포구,,0,3,0.000505837,,0,,0,,0,1,0.00000768,,0,2,0.000271186,,0,1,0.000172414,7,0.000957117,0.002715168,0.004263783,146
도곡2동,강남구,1,0.000422535,2,0.000337224,,0,,0,,0,4,0.000030722,,0,1,0.000135593,,0,,0,8,0.000926074,0.002754643,0.004253031,147
신정7동,양천구,1,0.000422535,,0,,0,,0,2,0.000639269,4,0.000030722,,0,1,0.000135593,,0,,0,8,0.001228119,0.002241193,0.00422829,148
행운동,관악구,,0,,0,,0,,0,2,0.000639269,5,0.000038402,,0,2,0.000271186,,0,,0,9,0.000948857,0.002679082,0.004214333,149
서초1동,서초구,,0,1,0.000168612,,0,,0,,0,2,0.000015361,,0,1,0.000135593,2,0.000077519,1,0.000172414,7,0.000569499,0.003229625,0.004151074,150
면목4동,중랑구,,0,2,0.000337224,,0,1,0.001041667,,0,2,0.000015361,,0,1,0.000135593,,0,,0,6,0.001529845,0.001673064,0.004148353,151
송중동,강북구,,0,2,0.000337224,,0,,0,,0,3,0.000023041,,0,1,0.000135593,1,0.00003876,,0,7,0.000534618,0.00323622,0.004101232,152
행당1동,성동구,,0,5,0.000843061,,0,,0,,0,1,0.00000768,,0,1,0.000135593,,0,,0,7,0.000986334,0.00250497,0.004100858,153
이문1동,동대문구,,0,2,0.000337224,,0,,0,,0,2,0.000015361,,0,1,0.000135593,,0,2,0.000344828,7,0.000833006,0.002737241,0.004085045,154
제기동,동대문구,,0,2,0.000337224,,0,,0,,0,5,0.000038402,,0,1,0.000135593,,0,,0,8,0.000511219,0.003237136,0.004064288,155
전농1동,동대문구,,0,1,0.000168612,,0,,0,,0,2,0.000015361,,0,1,0.000135593,2,0.000077519,,0,6,0.000397085,0.003419948,0.004062432,156
